"","quantidade","qtdObito","quantidadeSuspeitos","mediaMovel","data"
"1",89,2,21,12.71,"09/03/2022"
"2",109,1,35,28.28,"10/03/2022"
"3",82,1,20,40,"11/03/2022"
"4",66,1,13,49.42,"12/03/2022"
"5",60,1,10,58,"13/03/2022"
"6",74,0,19,68.57,"14/03/2022"
"7",63,1,20,64.85,"15/03/2022"
"8",55,4,13,57.14,"16/03/2022"
"9",42,2,15,51.42,"17/03/2022"
"10",51,0,18,49.28,"18/03/2022"
"11",57,2,13,48.85,"19/03/2022"
"12",51,1,17,45.57,"20/03/2022"
"13",52,1,12,44,"21/03/2022"
"14",66,1,8,45.57,"22/03/2022"
"15",41,1,9,45.42,"23/03/2022"
"16",59,1,22,46.57,"24/03/2022"
"17",53,1,15,46,"25/03/2022"
"18",57,0,10,46.85,"26/03/2022"
"19",50,0,11,46.57,"27/03/2022"
"20",76,0,9,48,"28/03/2022"
"21",62,0,13,51,"29/03/2022"
"22",51,1,10,49.85,"30/03/2022"
"23",53,0,10,49.85,"31/03/2022"
"24",95,1,31,55.28,"01/04/2022"
"25",72,1,14,58.42,"02/04/2022"
"26",52,0,8,55,"03/04/2022"
"27",52,3,8,53.57,"04/04/2022"
"28",55,1,7,54.14,"05/04/2022"
"29",57,1,9,54.71,"06/04/2022"
"30",48,1,9,48,"07/04/2022"
"31",48,0,10,44.57,"08/04/2022"
"32",46,0,5,43.71,"09/04/2022"
"33",67,2,7,45.85,"10/04/2022"
"34",49,0,4,45,"11/04/2022"
"35",39,0,4,42.42,"12/04/2022"
"36",50,1,5,42.71,"13/04/2022"
"37",56,2,2,43.85,"14/04/2022"
"38",50,0,4,44.42,"15/04/2022"
"39",52,0,4,42.28,"16/04/2022"
"40",65,0,4,44.57,"17/04/2022"
"41",67,0,7,48.57,"18/04/2022"
"42",56,0,5,49.42,"19/04/2022"
"43",82,0,1,53.14,"20/04/2022"
"44",45,0,1,52.42,"21/04/2022"
"45",58,2,0,53.28,"22/04/2022"
"46",57,2,2,52.14,"23/04/2022"
"47",52,0,3,50,"24/04/2022"
"48",96,0,3,55.71,"25/04/2022"
"49",50,0,4,51.14,"26/04/2022"
"50",60,0,1,53.28,"27/04/2022"
"51",69,1,0,54.85,"28/04/2022"
"52",62,2,3,55.57,"29/04/2022"
"53",55,1,1,56,"30/04/2022"
"54",85,0,2,54.42,"01/05/2022"
"55",81,0,1,58.85,"02/05/2022"
"56",85,0,2,62.42,"03/05/2022"
"57",97,0,0,66.42,"04/05/2022"
"58",58,0,0,65.85,"05/05/2022"
"59",78,0,0,69.14,"06/05/2022"
"60",63,0,0,66,"07/05/2022"
"61",61,0,2,63.14,"08/05/2022"
"62",75,0,0,61.71,"09/05/2022"
"63",86,1,1,60.14,"10/05/2022"
"64",85,1,0,64,"11/05/2022"
"65",83,0,0,64.71,"12/05/2022"
"66",74,0,1,66.28,"13/05/2022"
"67",56,0,1,65.57,"14/05/2022"
"68",62,0,0,63.71,"15/05/2022"
"69",94,1,0,64.85,"16/05/2022"
"70",92,0,1,65.85,"17/05/2022"
"71",70,0,1,64,"18/05/2022"
"72",91,0,1,66.42,"19/05/2022"
